dataset,method_key,method,measure,value
nfcorpus,cosine_int8,cos_int8,RR,0.615518277132801
nfcorpus,cosine_int8,cos_int8,P@10,0.30030959752321984
nfcorpus,cosine_int8,cos_int8,nDCG@10,0.40582764979052927
nfcorpus,cosine_int8_cosine_float,cos_int8 + cos_float,AP,0.22223872392765126
nfcorpus,cosine_int8_cosine_float,cos_int8 + cos_float,RR,0.6200081500982636
nfcorpus,cosine_int8_cosine_float,cos_int8 + cos_float,P@10,0.3037151702786378
nfcorpus,cosine_int8_cosine_float,cos_int8 + cos_float,nDCG@10,0.40954014055291776
nfcorpus,cosine_float,cos_float,AP,0.22225357563252005
nfcorpus,cosine_float,cos_float,RR,0.6200113672395934
nfcorpus,cosine_float,cos_float,P@10,0.3037151702786378
nfcorpus,cosine_float,cos_float,nDCG@10,0.40954014055291776
nfcorpus,hybrid_hamming,RRF(Hamming),AP,0.2073015953245596
nfcorpus,hybrid_hamming,RRF(Hamming),RR,0.6040487329120029
nfcorpus,hybrid_hamming,RRF(Hamming),P@10,0.28761609907120744
nfcorpus,hybrid_hamming,RRF(Hamming),nDCG@10,0.3885835988091011
nfcorpus,hybrid_cosine_int8,RRF(cos_int8),AP,0.21179090059172215
nfcorpus,hybrid_cosine_int8,RRF(cos_int8),RR,0.6059328036407592
nfcorpus,hybrid_cosine_int8,RRF(cos_int8),P@10,0.28668730650154794
nfcorpus,hybrid_cosine_int8,RRF(cos_int8),nDCG@10,0.3912063336414216
nfcorpus,hybrid_cosine_float,RRF(cos_float),AP,0.21188170029504955
nfcorpus,hybrid_cosine_float,RRF(cos_float),RR,0.6025198133036737
nfcorpus,hybrid_cosine_float,RRF(cos_float),P@10,0.28637770897832815
nfcorpus,hybrid_cosine_float,RRF(cos_float),nDCG@10,0.3894484603927024
nfcorpus,baseline,MTEB (Qwen3-8B),AP,0.22544
nfcorpus,baseline,MTEB (Qwen3-8B),RR,0.626503
nfcorpus,baseline,MTEB (Qwen3-8B),P@10,0.30774
nfcorpus,baseline,MTEB (Qwen3-8B),nDCG@10,0.41448
quora,bm25,BM25,AP,0.7592376721195108
quora,bm25,BM25,RR,0.7973167101269488
quora,bm25,BM25,P@10,0.12119
quora,bm25,BM25,nDCG@10,0.8007488789799662
quora,bm25_hamming,BM25 + Hamming,AP,0.8606857591401069
quora,bm25_hamming,BM25 + Hamming,RR,0.8819971488485912
quora,bm25_hamming,BM25 + Hamming,P@10,0.13534000000000002
quora,bm25_hamming,BM25 + Hamming,nDCG@10,0.8909365545852492
quora,bm25_cosine_int8,BM25 + cos_int8,AP,0.8621306966677148
quora,bm25_cosine_int8,BM25 + cos_int8,RR,0.883034936935575
quora,bm25_cosine_int8,BM25 + cos_int8,P@10,0.13576
quora,bm25_cosine_int8,BM25 + cos_int8,nDCG@10,0.8922648051663822
quora,bm25_cosine_float,BM25 + cos_float,AP,0.8622985014151286
quora,bm25_cosine_float,BM25 + cos_float,RR,0.8832583060810201
quora,bm25_cosine_float,BM25 + cos_float,P@10,0.13582
quora,bm25_cosine_float,BM25 + cos_float,nDCG@10,0.8924858257741322
quora,hamming,Hamming,AP,0.8591612606752825
quora,hamming,Hamming,RR,0.8797013002496132
quora,hamming,Hamming,P@10,0.13539
quora,hamming,Hamming,nDCG@10,0.8892002593810121
quora,hamming_cosine_int8,Hamming + cos_int8,AP,0.8609094797762292
quora,hamming_cosine_int8,Hamming + cos_int8,RR,0.8812249181087692
quora,hamming_cosine_int8,Hamming + cos_int8,P@10,0.1355
quora,hamming_cosine_int8,Hamming + cos_int8,nDCG@10,0.8903858063439691
quora,hamming_cosine_float,Hamming + cos_float,AP,0.8609486743392001
quora,hamming_cosine_float,Hamming + cos_float,RR,0.8812568476224407
quora,hamming_cosine_float,Hamming + cos_float,P@10,0.13560999999999998
quora,hamming_cosine_float,Hamming + cos_float,nDCG@10,0.8904853663615413
quora,cosine_int8,cos_int8,AP,0.8609092333943196
quora,cosine_int8,cos_int8,RR,0.8812249181087692
quora,cosine_int8,cos_int8,P@10,0.1355
quora,cosine_int8,cos_int8,nDCG@10,0.8903858063439691
quora,cosine_int8_cosine_float,cos_int8 + cos_float,AP,0.8609484462312572
quora,cosine_int8_cosine_float,cos_int8 + cos_float,RR,0.8812568476224407
quora,cosine_int8_cosine_float,cos_int8 + cos_float,P@10,0.13560999999999998
quora,cosine_int8_cosine_float,cos_int8 + cos_float,nDCG@10,0.8904853663615413
quora,cosine_float,cos_float,AP,0.8609485522117116
quora,cosine_float,cos_float,RR,0.8812568476224407
quora,cosine_float,cos_float,P@10,0.13560999999999998
quora,cosine_float,cos_float,nDCG@10,0.8904853663615413
quora,hybrid_hamming,RRF(Hamming),AP,0.8441753872926029
quora,hybrid_hamming,RRF(Hamming),RR,0.8733523290717485
quora,hybrid_hamming,RRF(Hamming),P@10,0.13299
quora,hybrid_hamming,RRF(Hamming),nDCG@10,0.8778840673203616
quora,hybrid_cosine_int8,RRF(cos_int8),AP,0.8447074513110603
quora,hybrid_cosine_int8,RRF(cos_int8),RR,0.8737142270075572
quora,hybrid_cosine_int8,RRF(cos_int8),P@10,0.13313000000000003
quora,hybrid_cosine_int8,RRF(cos_int8),nDCG@10,0.8783909780297552
quora,hybrid_cosine_float,RRF(cos_float),AP,0.844859131468236
quora,hybrid_cosine_float,RRF(cos_float),RR,0.8738217778298757
quora,hybrid_cosine_float,RRF(cos_float),P@10,0.13296
quora,hybrid_cosine_float,RRF(cos_float),nDCG@10,0.87829722267992
quora,baseline,MTEB (Qwen3-8B),AP,0.85884
quora,baseline,MTEB (Qwen3-8B),RR,0.879235
quora,baseline,MTEB (Qwen3-8B),P@10,0.13568
quora,baseline,MTEB (Qwen3-8B),nDCG@10,0.88901
scidocs,bm25,BM25,AP,0.10888589352775595
scidocs,bm25,BM25,RR,0.2853891829468963
scidocs,bm25,BM25,P@10,0.0809
scidocs,bm25,BM25,nDCG@10,0.15654629330672878
scidocs,bm25_hamming,BM25 + Hamming,AP,0.2160646483405547
scidocs,bm25_hamming,BM25 + Hamming,RR,0.4825726869174122
scidocs,bm25_hamming,BM25 + Hamming,P@10,0.15640000000000004
scidocs,bm25_hamming,BM25 + Hamming,nDCG@10,0.30004869543805573
scidocs,bm25_cosine_int8,BM25 + cos_int8,AP,0.2210546857693248
scidocs,bm25_cosine_int8,BM25 + cos_int8,RR,0.4918517688364604
scidocs,bm25_cosine_int8,BM25 + cos_int8,P@10,0.16090000000000002
scidocs,bm25_cosine_int8,BM25 + cos_int8,nDCG@10,0.30828733934435
scidocs,bm25_cosine_float,BM25 + cos_float,AP,0.22148040307438654
scidocs,bm25_cosine_float,BM25 + cos_float,RR,0.4924782139967271
scidocs,bm25_cosine_float,BM25 + cos_float,P@10,0.1608
scidocs,bm25_cosine_float,BM25 + cos_float,nDCG@10,0.3084071843901894
scidocs,hamming,Hamming,AP,0.23630820895908228
scidocs,hamming,Hamming,RR,0.49466842284304485
scidocs,hamming,Hamming,P@10,0.16240000000000002
scidocs,hamming,Hamming,nDCG@10,0.309141399580735
scidocs,hamming_cosine_int8,Hamming + cos_int8,AP,0.243002801658542
scidocs,hamming_cosine_int8,Hamming + cos_int8,RR,0.5003160165797674
scidocs,hamming_cosine_int8,Hamming + cos_int8,P@10,0.1698
scidocs,hamming_cosine_int8,Hamming + cos_int8,nDCG@10,0.319923708731633
scidocs,hamming_cosine_float,Hamming + cos_float,AP,0.24355903725962366
scidocs,hamming_cosine_float,Hamming + cos_float,RR,0.5034538421529089
scidocs,hamming_cosine_float,Hamming + cos_float,P@10,0.16910000000000003
scidocs,hamming_cosine_float,Hamming + cos_float,nDCG@10,0.3199129256181211
scidocs,cosine_int8,cos_int8,AP,0.24304566859302723
scidocs,cosine_int8,cos_int8,RR,0.5003144075045933
scidocs,cosine_int8,cos_int8,P@10,0.1698
scidocs,cosine_int8,cos_int8,nDCG@10,0.319923708731633
scidocs,cosine_int8_cosine_float,cos_int8 + cos_float,AP,0.243601559643312
scidocs,cosine_int8_cosine_float,cos_int8 + cos_float,RR,0.5034524034036275
scidocs,cosine_int8_cosine_float,cos_int8 + cos_float,P@10,0.16910000000000003
scidocs,cosine_int8_cosine_float,cos_int8 + cos_float,nDCG@10,0.3199129256181211
scidocs,cosine_float,cos_float,AP,0.24360729898658476
scidocs,cosine_float,cos_float,RR,0.50345138090874
scidocs,cosine_float,cos_float,P@10,0.16910000000000003
scidocs,cosine_float,cos_float,nDCG@10,0.3199129256181211
scidocs,hybrid_hamming,RRF(Hamming),AP,0.18153132762362215
scidocs,hybrid_hamming,RRF(Hamming),RR,0.4140226788850269
scidocs,hybrid_hamming,RRF(Hamming),P@10,0.12320000000000002
scidocs,hybrid_hamming,RRF(Hamming),nDCG@10,0.23842199008558
scidocs,hybrid_cosine_int8,RRF(cos_int8),AP,0.1847681285317828
scidocs,hybrid_cosine_int8,RRF(cos_int8),RR,0.41547835007967127
scidocs,hybrid_cosine_int8,RRF(cos_int8),P@10,0.12430000000000001
scidocs,hybrid_cosine_int8,RRF(cos_int8),nDCG@10,0.24058109345278206
scidocs,hybrid_cosine_float,RRF(cos_float),AP,0.18355427009903244
scidocs,hybrid_cosine_float,RRF(cos_float),RR,0.41295890863569096
scidocs,hybrid_cosine_float,RRF(cos_float),P@10,0.1235
scidocs,hybrid_cosine_float,RRF(cos_float),nDCG@10,0.23880182537952893
scidocs,baseline,MTEB (Qwen3-8B),AP,0.25173
scidocs,baseline,MTEB (Qwen3-8B),RR,0.509962
scidocs,baseline,MTEB (Qwen3-8B),P@10,0.1727
scidocs,baseline,MTEB (Qwen3-8B),nDCG@10,0.32742
scifact,bm25,BM25,AP,0.6419371286756018
scifact,bm25,BM25,RR,0.6526607707816089
scifact,bm25,BM25,P@10,0.08899999999999998
scifact,bm25,BM25,nDCG@10,0.680765827044601
scifact,bm25_hamming,BM25 + Hamming,AP,0.7404192941086127
scifact,bm25_hamming,BM25 + Hamming,RR,0.7477663119056306
scifact,bm25_hamming,BM25 + Hamming,P@10,0.10333333333333332
scifact,bm25_hamming,BM25 + Hamming,nDCG@10,0.7819247077673914
scifact,bm25_cosine_int8,BM25 + cos_int8,AP,0.7445077529001587
scifact,bm25_cosine_int8,BM25 + cos_int8,RR,0.75158632432873
scifact,bm25_cosine_int8,BM25 + cos_int8,P@10,0.10366666666666664
scifact,bm25_cosine_int8,BM25 + cos_int8,nDCG@10,0.7858410430529718
scifact,bm25_cosine_float,BM25 + cos_float,AP,0.7448513158823344
scifact,bm25_cosine_float,BM25 + cos_float,RR,0.7521388820199008
